treatment,batch_id,participant_id,group_id,rounds_played,accumulated_score,total_possible_score,score_ratio
random,batch-0618,3,4.0,25,114.0,250,0.456
random,batch-0618,4,1.0,25,81.0,250,0.324
random,batch-0618,5,2.0,25,57.0,250,0.228
random,batch-0618,6,2.0,25,93.0,250,0.372
random,batch-0618,7,3.0,25,54.0,250,0.216
random,batch-0618,9,3.0,25,56.0,250,0.224
random,batch-0618,10,4.0,25,116.0,250,0.464
random,batch-0618,11,6.0,25,114.0,250,0.456
random,batch-0618,12,5.0,25,125.0,250,0.5
random,batch-0618,13,5.0,25,115.0,250,0.46
random,batch-0618,16,6.0,25,106.0,250,0.424
random,batch-0618,22,16.0,25,125.0,250,0.5
random,batch-0618,23,10.0,0,0.0,0,
random,batch-0618,25,10.0,0,0.0,0,
random,batch-0618,28,13.0,25,125.0,250,0.5
random,batch-0618,29,14.0,25,115.0,250,0.46
random,batch-0618,30,13.0,25,125.0,250,0.5
random,batch-0618,31,14.0,25,115.0,250,0.46
random,batch-0618,32,15.0,25,120.0,250,0.48
random,batch-0618,33,15.0,25,120.0,250,0.48
random,batch-0618,34,16.0,25,125.0,250,0.5
random,batch-0618,37,20.0,25,120.0,250,0.48
random,batch-0618,38,18.0,25,127.0,250,0.508
random,batch-0618,39,18.0,25,113.0,250,0.452
random,batch-0618,40,19.0,25,116.0,250,0.464
random,batch-0618,41,20.0,25,130.0,250,0.52
random,batch-0618,42,19.0,25,104.0,250,0.416
random,batch-0618,43,21.0,25,125.0,250,0.5
random,batch-0618,44,21.0,25,125.0,250,0.5
random,batch-0618,52,26.0,25,139.0,250,0.556
random,batch-0618,54,25.0,25,130.0,250,0.52
random,batch-0618,55,25.0,25,90.0,250,0.36
random,batch-0618,56,26.0,25,101.0,250,0.404
random,batch-0618,62,29.0,25,120.0,250,0.48
random,batch-0618,63,29.0,25,120.0,250,0.48
random,batch-0618,64,30.0,25,125.0,250,0.5
random,batch-0618,65,30.0,25,125.0,250,0.5
random,batch-0618,66,31.0,25,125.0,250,0.5
random,batch-0618,67,31.0,25,125.0,250,0.5
