treatment,batch_id,participant_id,verbal_strategy,own_benefit,other_benefit,importance_of_fairness,assessment_of_fairness
random,batch-0618,66,"I was the first one to offer, I offered 50%, which meant my partner and I would get the same amount if they accepted. They did, then followed suit when it was their turn. Because the offer from each of us on each round was fair and equal, we both accepted.",5,5,5,5
random,batch-0618,67,"My strategy was to ensure fair sharing of the coins with my partner. I did not want a situation they will reject my offer because when they reject my offer, we both loose",5,5,5,5
random,batch-061903,5,Me and my partner came to the trend of trading back and forth 5 coins so we could have the same amount at the end.,3,3,5,5
random,batch-061903,6,Share coins with your partner. Try to agree on the amount.,5,5,5,5
random,batch-061903,7,I would only accept 5 coins. I would not accept anything less than that.,5,5,5,5
random,batch-061903,8,I tried to give equal amount to my partner and accept all the proposal offered to me,4,4,5,4
random,batch-061903,9,"My strategy was to provide an offer that was fair to both of us. This because if they rejected it, we both get nothing.",5,5,5,5
random,batch-061903,11,"I hoped that we could split it equally, and my partner’s offer to me was also an equal split. So from the beginning to the end, we divided it 5 to 5.",4,4,5,5
random,batch-061903,14,I gave equal amount to the other player,4,4,4,5
random,batch-061903,16,"To try to be as fair as possible. If they refused a similar offer that they sent me, I determined they're not being fair and start rejecting similar offers by them in the future",4,4,5,3
random,batch-061903,17,I would give as little coins as I could,5,4,3,4
random,batch-061903,18,I had no overriding strategy.  I played it by ear.,4,2,4,4
random,batch-061903,19,Give half so it would be consistent and not uncertain once I knew the team mate would do the same.,3,3,5,5
random,batch-061903,20,"I tried to be fair each round, yet maximize my earnings. I felt that I wanted things to be balanced.",4,4,5,5
random,batch-061903,21,"In general, I tried to do an even split with the coins on every round. This was to maximize my payout while minimizing the chance that my partner would reject the proposal.",3,5,5,5
random,batch-061903,22,i wanted for it to be fair as possible,4,4,5,5
random,batch-061903,23,I was trying to balance the amounts between the partaner and me.,4,4,4,4
random,batch-061903,24,Make it even and slowly work my way higher,5,4,4,5
random,batch-061903,25,Really didn't have a set stragety. To start I rejected coins and/or sent a low number just to see,3,,4,4
random,batch-061903,28,Ensuring I give my partner few coins and keep more,5,2,1,5
random,batch-061903,30,My strategy was give some but keep at least 60% for myself. I wanted to always stayed financial ahead of my opponent,5,3,3,3
random,batch-061903,31,50 \50 IS fair,5,2,3,4
random,batch-061903,32,i tried to split as evenly as possible and keep it fair,4,4,4,3
random,batch-061903,33,I tried to exploit the ambiguity of the situation.,5,2,2,3
random,batch-061903,35,I tried to give us both and even amount of coins.,3,3,5,5
random,batch-061903,36,,5,5,5,5
random,batch-061903,37,I tried to be even as much as I could.,3,3,5,2
random,batch-061903,38,I just sort of followed the lead and I also experimented with amounts until we both seemed to reach a consensus,5,5,5,4
random,batch-061903,40,"To accumulate as many coins possible through trades with a partner by offering , accepting or rejecting trade proposals",5,5,5,5
random,batch-061903,41,OFFFER 4 or 5,4,4,4,4
random,batch-061903,44,"Since even being rejected one time lowered my accumulated score, I split the coins evenly in each round. My partner did the same and we both received equal shares without having proposals rejected. Slow and steady wins the race!",4,3,5,5
random,batch-061903,45,I felt it was best to split the coins equally to ensure that I would receive some coins. I had a feeling that my partner would do the same to increase the amount of money we would each receive.,5,4,5,5
random,batch-061903,46,Splitting equally,5,5,5,5
random,batch-061903,47,I evenly splited the money. That's the fairest way.,5,4,5,5
random,batch-061903,48,"Since we are playing repeated rounds, it made sense for me to reject anything less than 50/50. Similarly, I felt that anything over 50/50 would result in either a rejection or that same ratio sent back to me in subsequent rounds. Therefore, I rejected the first (unfair) offer and then we stuck to a 50/50 split.",5,4,5,5
random,batch-061903,49,I tried to be fair as possible. I wanted both of us to earn equally.,5,5,5,5
