treatment,metric,value
constant,Participant count,70.0
constant,Accumulated score / total possible score,0.4285714285714286
constant,Overall Gini index,0.11823238095238095
random,Participant count,87.0
random,Accumulated score / total possible score,0.44423529411764706
random,Overall Gini index,0.12761542957334893
